"case_id","case","round_1","round_3","round_4","round_5","round_6","round_7","round_9","round_12","status","round_13","round_14","round_15","round_16","round_17","round_20","round_21","round_22"
"SRC-01","HTML行内节点组成完整业务句","PASS","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"SRC-02","表格行保留表头及列关系","PASS","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"SRC-03","iframe与正文标题作用域隔离","PASS","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"REF-01","模型仅选择有效证据ID","PASS","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"REF-02","未知过期越权证据ID被拒绝","PASS","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"REF-03","同段两个功能保留不同选区","PASS","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"REF-04","非连续及共享选区不扩大","PASS","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"REF-05","统一拆分返工与恢复保持选区","PASS","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"OUT-01","页面JSONMarkdownExcel选区一致","PASS","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"DIAG-01","失败诊断包含节点批次和证据","PASS","NOT_RUN","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"E2E-01","真实HTML新任务达到终态","PASS","PASS","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"E2E-02","真实业务关键规则反查通过","PASS","UNVERIFIED","UNVERIFIED","UNVERIFIED","NOT_RUN","UNVERIFIED","NOT_RUN","NOT_RUN","UNVERIFIED","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-01","平台问题未解决不能成功完成","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-02","失败修正仍可被调度并接受复核反馈","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-03","当前覆盖与历史问题状态一致","NOT_RUN","FAIL","PASS","PASS","FAIL","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-04","截断标签不制造业务澄清","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","NOT_RUN","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
"CLS-05","澄清重复关联保持幂等","NOT_RUN","FAIL","PASS","PASS","NOT_RUN","PASS","PASS","NOT_RUN","PASS","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN","NOT_RUN"
